Feature,Type,Importance,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs5 & person3_gender=female,Interaction,0.08892178,Synergy (+),POS,quantity_level=1vs5,person3_gender=female,0.0038802796
quantity_level=1vs2 & person1_profession=high,Interaction,0.07653603,Interference (-),NEG,quantity_level=1vs2,person1_profession=high,0.0033398028
quantity_level=1vs2 & person1_gender=female,Interaction,0.0759599,Synergy (+),POS,quantity_level=1vs2,person1_gender=female,0.003314662
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.07080837,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.003089865
quantity_level=1vs1 & quantity_level=1vs10,Interaction,0.06741838,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs10,0.002941936
quantity_level=1vs1 & quantity_level=1vs5,Interaction,0.026424529,Synergy (+),POS,quantity_level=1vs1,quantity_level=1vs5,0.0011530871
quantity_level=1vs10 & quantity_level=1vs5,Interaction,0.017028194,Synergy (+),POS,quantity_level=1vs10,quantity_level=1vs5,0.0007430593
quantity_level=1vs10 & quantity_level=1vs2,Interaction,0.015612981,Interference (-),NEG,quantity_level=1vs10,quantity_level=1vs2,0.0006813037
quantity_level=1vs2 & quantity_level=1vs5,Interaction,0.009563218,Synergy (+),POS,quantity_level=1vs2,quantity_level=1vs5,0.00041731013
person3_gender=male,Main Effect,0.0,Negative (Promotes 0),Unknown,person3_gender=male,-,0.0
person2_color=white,Main Effect,0.0,Negative (Promotes 0),Unknown,person2_color=white,-,0.0
person1_gender=male,Main Effect,0.0,Negative (Promotes 0),Unknown,person1_gender=male,-,0.0
person1_color=white,Main Effect,0.0,Negative (Promotes 0),Unknown,person1_color=white,-,0.0
person1_profession=low,Main Effect,0.0,Negative (Promotes 0),Unknown,person1_profession=low,-,0.0
person2_gender=male,Main Effect,0.0,Negative (Promotes 0),Unknown,person2_gender=male,-,0.0
person2_profession=low,Main Effect,0.0,Negative (Promotes 0),Unknown,person2_profession=low,-,0.0
person3_color=white,Main Effect,0.0,Negative (Promotes 0),Unknown,person3_color=white,-,0.0
person3_profession=low,Main Effect,0.0,Negative (Promotes 0),Unknown,person3_profession=low,-,0.0
