Feature,Type,Importance,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.09555143483079692,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.006081519144722291
person1_profession=high & person3_gender=female,Interaction,0.09438198871803022,Synergy (+),POS,person1_profession=high,person3_gender=female,0.006007087934598594
person2_profession=high & person3_color=black,Interaction,0.09375746342324277,Synergy (+),POS,person2_profession=high,person3_color=black,0.005967339054392464
person2_color=black & person2_profession=high,Interaction,0.09093887263266115,Synergy (+),POS,person2_color=black,person2_profession=high,0.0057879454755894455
quantity_level=1vs5 & person3_profession=high,Interaction,0.09086038802919487,Interference (-),NEG,quantity_level=1vs5,person3_profession=high,0.005782950201375182
person2_gender=female & person3_color=black,Interaction,0.0880560256816915,Synergy (+),POS,person2_gender=female,person3_color=black,0.005604462213881527
person1_color=black & person3_gender=female,Interaction,0.0859405261638349,Synergy (+),POS,person1_color=black,person3_gender=female,0.005469817968703231
quantity_level=1vs5 & person3_gender=female,Interaction,0.08583886829196129,Interference (-),NEG,quantity_level=1vs5,person3_gender=female,0.005463347795909847
person1_profession=high & person3_profession=high,Interaction,0.08443461238737573,Interference (-),NEG,person1_profession=high,person3_profession=high,0.005373971752703913
person2_profession=high & person3_gender=female,Interaction,0.08171754073212578,Synergy (+),POS,person2_profession=high,person3_gender=female,0.005201039516592069
quantity_level=1vs10 & person2_profession=high,Interaction,0.0812420389825982,Synergy (+),POS,quantity_level=1vs10,person2_profession=high,0.005170775470864009
person1_profession=high & person2_gender=female,Interaction,0.08055079245486857,Interference (-),NEG,person1_profession=high,person2_gender=female,0.005126780014390177
person1_color=black & person2_gender=female,Interaction,0.07924373793247841,Synergy (+),POS,person1_color=black,person2_gender=female,0.005043590503785888
quantity_level=1vs10 & person2_gender=female,Interaction,0.07917559095627824,Synergy (+),POS,quantity_level=1vs10,person2_gender=female,0.005039253183879074
quantity_level=1vs1 & person3_color=black,Interaction,0.07898010345049503,Interference (-),NEG,quantity_level=1vs1,person3_color=black,0.00502681107862885
quantity_level=1vs1 & person3_gender=female,Interaction,0.07813485242351415,Interference (-),NEG,quantity_level=1vs1,person3_gender=female,0.00497301376714124
person1_gender=female & person3_gender=female,Interaction,0.07741399392971625,Interference (-),NEG,person1_gender=female,person3_gender=female,0.004927133611197684
person3_color=black & person3_profession=high,Interaction,0.07705728258244159,Synergy (+),POS,person3_color=black,person3_profession=high,0.0049044301647090775
quantity_level=1vs5 & person2_profession=high,Interaction,0.07693872962717696,Synergy (+),POS,quantity_level=1vs5,person2_profession=high,0.004896884678151163
quantity_level=1vs10 & person3_profession=high,Interaction,0.07658033984852448,Synergy (+),POS,quantity_level=1vs10,person3_profession=high,0.004874074405296471
person1_color=black & person3_profession=high,Interaction,0.07578550316264931,Interference (-),NEG,person1_color=black,person3_profession=high,0.004823485792675036
person1_gender=female & person2_color=black,Interaction,0.07434759357488346,Interference (-),NEG,person1_gender=female,person2_color=black,0.00473196780865038
person2_color=black & person3_profession=high,Interaction,0.0730559906713931,Synergy (+),POS,person2_color=black,person3_profession=high,0.004649761740276158
person2_gender=female & person3_profession=high,Interaction,0.07251312984162615,Synergy (+),POS,person2_gender=female,person3_profession=high,0.0046152105215007035
quantity_level=1vs5 & person1_profession=high,Interaction,0.07168405189898099,Interference (-),NEG,quantity_level=1vs5,person1_profession=high,0.004562442571028875
quantity_level=1vs5 & person2_gender=female,Interaction,0.07154843453990897,Synergy (+),POS,quantity_level=1vs5,person2_gender=female,0.004553810994046137
quantity_level=1vs1 & person2_profession=high,Interaction,0.06837264242479574,Synergy (+),POS,quantity_level=1vs1,person2_profession=high,0.004351682783392681
person1_profession=low,Main Effect,0.06569585481230635,Negative (Promotes 0),NEG,person1_profession=low,-,0.004181314487610033
quantity_level=1vs1 & person1_profession=high,Interaction,0.06494166468076484,Interference (-),NEG,quantity_level=1vs1,person1_profession=high,0.004133312887928644
quantity_level=1vs5 & person1_gender=female,Interaction,0.06483279567596649,Synergy (+),POS,quantity_level=1vs5,person1_gender=female,0.004126383751405257
quantity_level=1vs2 & person1_color=black,Interaction,0.06466484786866997,Synergy (+),POS,quantity_level=1vs2,person1_color=black,0.004115694452943161
person2_gender=male,Main Effect,0.06368872052111983,Negative (Promotes 0),NEG,person2_gender=male,-,0.004053567315215452
quantity_level=1vs1 & person2_color=black,Interaction,0.06180758795580301,Interference (-),NEG,quantity_level=1vs1,person2_color=black,0.003933839717927216
quantity_level=1vs10 & person1_color=black,Interaction,0.0606332998950048,Interference (-),NEG,quantity_level=1vs10,person1_color=black,0.0038591003345175446
person3_profession=low,Main Effect,0.058385820432749085,Negative (Promotes 0),NEG,person3_profession=low,-,0.003716056021250226
quantity_level=1vs2 & person1_profession=high,Interaction,0.054855730844684696,Synergy (+),POS,quantity_level=1vs2,person1_profession=high,0.0034913779988802363
quantity_level=1vs1 & person1_color=black,Interaction,0.051460993850561805,Interference (-),NEG,quantity_level=1vs1,person1_color=black,0.00327531470210595
quantity_level=1vs5 & person2_gender=male,Interaction,0.04951420094094033,Synergy (+),POS,quantity_level=1vs5,person2_gender=male,0.003151408050451393
quantity_level=1vs5 & person3_profession=low,Interaction,0.049089331434279175,Interference (-),NEG,quantity_level=1vs5,person3_profession=low,0.003124366572284749
quantity_level=1vs1 & person3_profession=high,Interaction,0.049044770060072525,Interference (-),NEG,quantity_level=1vs1,person3_profession=high,0.003121530394567138
quantity_level=1vs2 & person3_profession=high,Interaction,0.04852430482550837,Synergy (+),POS,quantity_level=1vs2,person3_profession=high,0.00308840457815455
quantity_level=1vs2 & person2_profession=high,Interaction,0.04782020473552465,Synergy (+),POS,quantity_level=1vs2,person2_profession=high,0.003043591036792045
quantity_level=1vs2 & person3_gender=female,Interaction,0.04765429712226964,Interference (-),NEG,quantity_level=1vs2,person3_gender=female,0.0030330315896413846
quantity_level=1vs1 & person1_gender=female,Interaction,0.045878914812478175,Synergy (+),POS,quantity_level=1vs1,person1_gender=female,0.0029200346312459667
quantity_level=1vs1 & person2_gender=female,Interaction,0.04440746805340888,Interference (-),NEG,quantity_level=1vs1,person2_gender=female,0.0028263821219815504
quantity_level=1vs5 & person2_profession=low,Interaction,0.04303189072102707,Synergy (+),POS,quantity_level=1vs5,person2_profession=low,0.002738831370946363
quantity_level=1vs2 & person2_gender=female,Interaction,0.0429997872907046,Interference (-),NEG,quantity_level=1vs2,person2_gender=female,0.0027367880983731876
quantity_level=1vs2 & person3_color=black,Interaction,0.04270888586886406,Interference (-),NEG,quantity_level=1vs2,person3_color=black,0.0027182732265736906
person1_profession=low & person3_color=black,Interaction,0.04099404822501649,Synergy (+),POS,person1_profession=low,person3_color=black,0.0026091297272676168
person2_profession=low,Main Effect,0.04007134377851815,Negative (Promotes 0),NEG,person2_profession=low,-,0.00255040277286618
quantity_level=1vs2 & person2_color=black,Interaction,0.034407791268442504,Interference (-),NEG,quantity_level=1vs2,person2_color=black,0.0021899371966228
quantity_level=1vs10 & quantity_level=1vs5,Interaction,0.033494025583985294,Synergy (+),POS,quantity_level=1vs10,quantity_level=1vs5,0.0021317791635837636
person2_gender=male & person3_color=black,Interaction,0.03328362674703225,Synergy (+),POS,person2_gender=male,person3_color=black,0.0021183880035533253
quantity_level=1vs10 & person3_profession=low,Interaction,0.03220296965489224,Interference (-),NEG,quantity_level=1vs10,person3_profession=low,0.002049607908242698
quantity_level=1vs5 & person3_gender=male,Interaction,0.03139353274537865,Synergy (+),POS,quantity_level=1vs5,person3_gender=male,0.0019980900417620037
person1_color=black & person3_profession=low,Interaction,0.030711587026996993,Interference (-),NEG,person1_color=black,person3_profession=low,0.0019546865497124762
person2_profession=low & person3_gender=female,Interaction,0.030596701386468396,Synergy (+),POS,person2_profession=low,person3_gender=female,0.00194737447508413
person3_color=white,Main Effect,0.03024664855757426,Positive (Promotes 1),POS,person3_color=white,-,0.0019250948203164786
quantity_level=1vs2 & person1_gender=female,Interaction,0.028411561969317847,Synergy (+),POS,quantity_level=1vs2,person1_gender=female,0.0018082978905951523
quantity_level=1vs10 & person1_profession=low,Interaction,0.028232881631121465,Interference (-),NEG,quantity_level=1vs10,person1_profession=low,0.0017969255035718596
person2_color=black & person3_profession=low,Interaction,0.02749422781272044,Interference (-),NEG,person2_color=black,person3_profession=low,0.0017499127366167348
person3_color=black & person3_gender=male,Interaction,0.026696876795176388,Synergy (+),POS,person3_color=black,person3_gender=male,0.001699164095459804
person3_gender=male,Main Effect,0.026252616197379758,Positive (Promotes 1),POS,person3_gender=male,-,0.0016708884412477004
person1_color=white,Main Effect,0.026058233340528612,Negative (Promotes 0),NEG,person1_color=white,-,0.0016585166430906199
person1_profession=low & person3_gender=female,Interaction,0.025928793677557797,Synergy (+),POS,person1_profession=low,person3_gender=female,0.0016502782551497442
person1_gender=male,Main Effect,0.02584143788512671,Positive (Promotes 1),POS,person1_gender=male,-,0.0016447183603662404
person1_color=black & person3_gender=male,Interaction,0.025468393571737236,Synergy (+),POS,person1_color=black,person3_gender=male,0.0016209753769382547
person1_color=black & person1_profession=low,Interaction,0.02522794785159655,Interference (-),NEG,person1_color=black,person1_profession=low,0.001605671836464043
quantity_level=1vs5 & person3_color=white,Interaction,0.024353424009420442,Synergy (+),POS,quantity_level=1vs5,person3_color=white,0.0015500114112896013
person1_profession=low & person2_color=black,Interaction,0.02339072359940003,Synergy (+),POS,person1_profession=low,person2_color=black,0.001488738851808536
quantity_level=1vs5 & person1_color=white,Interaction,0.023361539417180496,Interference (-),NEG,quantity_level=1vs5,person1_color=white,0.0014868813793047955
quantity_level=1vs10 & person2_gender=male,Interaction,0.022927941654827796,Synergy (+),POS,quantity_level=1vs10,person2_gender=male,0.0014592843777785894
person1_gender=female & person3_gender=male,Interaction,0.022875515449595756,Synergy (+),POS,person1_gender=female,person3_gender=male,0.0014559476307023328
person2_profession=low & person3_profession=high,Interaction,0.022339694013386317,Synergy (+),POS,person2_profession=low,person3_profession=high,0.0014218444450387092
person2_color=black & person2_gender=male,Interaction,0.022161186791628224,Synergy (+),POS,person2_color=black,person2_gender=male,0.0014104830762794078
person1_gender=male & person3_color=black,Interaction,0.021954751284403735,Interference (-),NEG,person1_gender=male,person3_color=black,0.0013973441685114676
person2_profession=high & person3_gender=male,Interaction,0.0219514780556064,Synergy (+),POS,person2_profession=high,person3_gender=male,0.001397135838792178
quantity_level=1vs10 & person1_gender=male,Interaction,0.021278390607364698,Synergy (+),POS,quantity_level=1vs10,person1_gender=male,0.001354296145073263
person2_color=white & person3_color=black,Interaction,0.021060099011784947,Interference (-),NEG,person2_color=white,person3_color=black,0.0013404026381887138
quantity_level=1vs1 & quantity_level=1vs5,Interaction,0.02090254687196871,Synergy (+),POS,quantity_level=1vs1,quantity_level=1vs5,0.001330374988093442
quantity_level=1vs5 & person1_profession=low,Interaction,0.02003880240880826,Interference (-),NEG,quantity_level=1vs5,person1_profession=low,0.0012754006332011266
person1_profession=high & person3_profession=low,Interaction,0.019855827911609825,Synergy (+),POS,person1_profession=high,person3_profession=low,0.0012637549377735415
person1_color=black & person2_gender=male,Interaction,0.019376939488769913,Synergy (+),POS,person1_color=black,person2_gender=male,0.0012332753419742317
person2_gender=male & person3_gender=female,Interaction,0.01935192455384979,Synergy (+),POS,person2_gender=male,person3_gender=female,0.0012316832276758948
quantity_level=1vs10 & person2_profession=low,Interaction,0.01908911403235197,Interference (-),NEG,quantity_level=1vs10,person2_profession=low,0.0012149562447608428
person1_color=white & person2_color=black,Interaction,0.0188898461347567,Interference (-),NEG,person1_color=white,person2_color=black,0.0012022735306153134
person2_color=black & person2_profession=low,Interaction,0.018686297916882484,Synergy (+),POS,person2_color=black,person2_profession=low,0.001189318388852469
quantity_level=1vs10 & person2_color=white,Interaction,0.018560732395177696,Interference (-),NEG,quantity_level=1vs10,person2_color=white,0.00118132657663618
person2_profession=high & person2_gender=male,Interaction,0.018483541450379174,Synergy (+),POS,person2_profession=high,person2_gender=male,0.0011764136393325937
person2_color=black & person3_gender=male,Interaction,0.01841558726582922,Interference (-),NEG,person2_color=black,person3_gender=male,0.0011720885899491247
person3_profession=low & person3_gender=female,Interaction,0.018253449492956174,Synergy (+),POS,person3_profession=low,person3_gender=female,0.0011617690801316513
person1_color=white & person3_gender=female,Interaction,0.01768573060247696,Interference (-),NEG,person1_color=white,person3_gender=female,0.0011256357315599244
person2_profession=low & person3_color=black,Interaction,0.017441948110537394,Synergy (+),POS,person2_profession=low,person3_color=black,0.0011101198170736174
person1_gender=male & person3_gender=female,Interaction,0.017414331342580854,Interference (-),NEG,person1_gender=male,person3_gender=female,0.0011083621050796482
quantity_level=1vs10 & person3_color=white,Interaction,0.01714588241338026,Synergy (+),POS,quantity_level=1vs10,person3_color=white,0.00109127625696858
person3_color=white & person3_gender=female,Interaction,0.017008930719580283,Synergy (+),POS,person3_color=white,person3_gender=female,0.001082559754184278
person2_profession=high & person3_color=white,Interaction,0.01677355832085865,Synergy (+),POS,person2_profession=high,person3_color=white,0.0010675791131138474
person1_gender=male & person2_gender=female,Interaction,0.01670327771072488,Interference (-),NEG,person1_gender=male,person2_gender=female,0.0010631059947688623
person1_color=white & person3_color=black,Interaction,0.016644287184631696,Interference (-),NEG,person1_color=white,person3_color=black,0.0010593514513187485
person1_profession=high & person1_gender=male,Interaction,0.016641134152829692,Interference (-),NEG,person1_profession=high,person1_gender=male,0.0010591507717234944
quantity_level=1vs10 & person3_gender=male,Interaction,0.01638578715256261,Synergy (+),POS,quantity_level=1vs10,person3_gender=male,0.0010428988161833024
person3_color=black & person3_profession=low,Interaction,0.016338010679705466,Synergy (+),POS,person3_color=black,person3_profession=low,0.0010398580085296805
person1_color=black & person2_profession=low,Interaction,0.016154923917466854,Interference (-),NEG,person1_color=black,person2_profession=low,0.0010282051678196374
person3_profession=high & person3_gender=male,Interaction,0.01587982144931394,Interference (-),NEG,person3_profession=high,person3_gender=male,0.0010106958449110392
person2_gender=male & person3_profession=low,Interaction,0.015772226061439857,Interference (-),NEG,person2_gender=male,person3_profession=low,0.001003847769710507
person1_gender=female & person2_gender=male,Interaction,0.015400684771038611,Synergy (+),POS,person1_gender=female,person2_gender=male,0.0009802004485098238
person1_profession=high & person2_gender=male,Interaction,0.015020261758881605,Interference (-),NEG,person1_profession=high,person2_gender=male,0.0009559878363640973
person1_gender=male & person3_profession=high,Interaction,0.015008221589985401,Synergy (+),POS,person1_gender=male,person3_profession=high,0.0009552215211561925
person2_profession=high & person3_profession=low,Interaction,0.014366003515793703,Interference (-),NEG,person2_profession=high,person3_profession=low,0.0009143465565865902
person1_color=white & person1_profession=high,Interaction,0.013763538326072593,Interference (-),NEG,person1_color=white,person1_profession=high,0.0008760017259536883
person2_color=white,Main Effect,0.0136602940461947,Positive (Promotes 1),POS,person2_color=white,-,0.0008694305837644335
person1_profession=high & person3_gender=male,Interaction,0.013617737922782095,Synergy (+),POS,person1_profession=high,person3_gender=male,0.0008667220333411226
person2_gender=female & person3_profession=low,Interaction,0.013498354120207065,Interference (-),NEG,person2_gender=female,person3_profession=low,0.0008591236662185833
quantity_level=1vs10 & person1_color=white,Interaction,0.013443954893455064,Interference (-),NEG,quantity_level=1vs10,person1_color=white,0.0008556613431301207
quantity_level=1vs2 & person1_profession=low,Interaction,0.013263462246827284,Synergy (+),POS,quantity_level=1vs2,person1_profession=low,0.0008441736089281991
person1_profession=low & person2_profession=high,Interaction,0.013222315225523536,Interference (-),NEG,person1_profession=low,person2_profession=high,0.000841554742992275
person1_color=black & person1_gender=male,Interaction,0.013182854600535102,Interference (-),NEG,person1_color=black,person1_gender=male,0.0008390432103632273
person1_gender=male & person2_color=black,Interaction,0.012842512524098933,Interference (-),NEG,person1_gender=male,person2_color=black,0.0008173816114844004
person3_color=white & person3_profession=high,Interaction,0.012737955336038432,Synergy (+),POS,person3_color=white,person3_profession=high,0.0008107269072192654
person1_color=black & person3_color=white,Interaction,0.012448017401734388,Interference (-),NEG,person1_color=black,person3_color=white,0.000792273358077134
person1_color=white & person2_profession=high,Interaction,0.012331879486540987,Synergy (+),POS,person1_color=white,person2_profession=high,0.0007848815804871113
person1_profession=low & person1_gender=female,Interaction,0.012173033796149821,Interference (-),NEG,person1_profession=low,person1_gender=female,0.0007747716003608982
person1_profession=high & person2_profession=low,Interaction,0.012172618416023667,Synergy (+),POS,person1_profession=high,person2_profession=low,0.0007747451628490595
person2_gender=female & person3_gender=male,Interaction,0.012005751737759019,Interference (-),NEG,person2_gender=female,person3_gender=male,0.0007641246745196096
person1_profession=high & person3_color=white,Interaction,0.011904490383854183,Synergy (+),POS,person1_profession=high,person3_color=white,0.0007576797387268268
person1_color=white & person3_profession=high,Interaction,0.011869840872850491,Synergy (+),POS,person1_color=white,person3_profession=high,0.0007554744169030638
person1_gender=female & person3_profession=low,Interaction,0.011820814819293927,Interference (-),NEG,person1_gender=female,person3_profession=low,0.0007523540777493672
person1_color=white & person2_gender=female,Interaction,0.01178150925943937,Synergy (+),POS,person1_color=white,person2_gender=female,0.0007498524144810678
person1_gender=male & person2_profession=high,Interaction,0.011775705854960189,Synergy (+),POS,person1_gender=male,person2_profession=high,0.0007494830478095237
person1_gender=female & person2_profession=low,Interaction,0.011543168493761463,Synergy (+),POS,person1_gender=female,person2_profession=low,0.0007346828470956622
person1_profession=high & person2_color=white,Interaction,0.011379974822163692,Synergy (+),POS,person1_profession=high,person2_color=white,0.0007242961329675402
quantity_level=1vs5 & person1_gender=male,Interaction,0.011280895862522547,Synergy (+),POS,quantity_level=1vs5,person1_gender=male,0.0007179900990397003
person1_gender=female & person3_color=white,Interaction,0.011227794239734693,Synergy (+),POS,person1_gender=female,person3_color=white,0.0007146103639664173
person1_profession=low & person3_profession=high,Interaction,0.010813770162540164,Synergy (+),POS,person1_profession=low,person3_profession=high,0.0006882591599652088
person2_profession=low & person2_gender=female,Interaction,0.010639449959853574,Interference (-),NEG,person2_profession=low,person2_gender=female,0.0006771642805232867
person1_color=black & person2_color=white,Interaction,0.01046185031927222,Interference (-),NEG,person1_color=black,person2_color=white,0.0006658606761744467
person1_gender=female & person2_color=white,Interaction,0.01045633147370231,Synergy (+),POS,person1_gender=female,person2_color=white,0.0006655094206956607
person1_gender=male & person3_color=white,Interaction,0.010038689810360222,Interference (-),NEG,person1_gender=male,person3_color=white,0.0006389279698179608
person1_profession=low & person2_gender=female,Interaction,0.010029666838825222,Interference (-),NEG,person1_profession=low,person2_gender=female,0.0006383536888118248
person1_color=white & person1_gender=female,Interaction,0.009780890704150924,Interference (-),NEG,person1_color=white,person1_gender=female,0.0006225199461950772
person2_profession=low & person3_profession=low,Interaction,0.009467237813324226,Synergy (+),POS,person2_profession=low,person3_profession=low,0.000602557021894277
person2_gender=female & person3_color=white,Interaction,0.00883702984452062,Synergy (+),POS,person2_gender=female,person3_color=white,0.0005624464590940165
person2_color=black & person3_color=white,Interaction,0.008721661995399414,Interference (-),NEG,person2_color=black,person3_color=white,0.0005551036935525208
person2_gender=male & person3_profession=high,Interaction,0.008474365425757788,Interference (-),NEG,person2_gender=male,person3_profession=high,0.000539364120145142
person1_profession=low & person3_profession=low,Interaction,0.008300774014601714,Synergy (+),POS,person1_profession=low,person3_profession=low,0.0005283156257695791
quantity_level=1vs1 & person3_gender=male,Interaction,0.008293070620899293,Synergy (+),POS,quantity_level=1vs1,person3_gender=male,0.0005278253313395314
person2_color=white & person3_profession=high,Interaction,0.00825811494800169,Synergy (+),POS,person2_color=white,person3_profession=high,0.0005256005233675751
person2_color=white & person3_gender=female,Interaction,0.008180197494730965,Synergy (+),POS,person2_color=white,person3_gender=female,0.000520641346306414
quantity_level=1vs1 & person1_gender=male,Interaction,0.008038062110797412,Synergy (+),POS,quantity_level=1vs1,person1_gender=male,0.0005115949195304577
quantity_level=1vs1 & quantity_level=1vs10,Interaction,0.0076108538453694185,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs10,0.0004844045874377515
quantity_level=1vs2 & person1_gender=male,Interaction,0.007253358256650277,Interference (-),NEG,quantity_level=1vs2,person1_gender=male,0.00046165122668708185
person1_gender=male & person2_color=white,Interaction,0.006560764331120839,Interference (-),NEG,person1_gender=male,person2_color=white,0.0004175700129922345
quantity_level=1vs5 & person2_color=white,Interaction,0.006182808075361481,Synergy (+),POS,quantity_level=1vs5,person2_color=white,0.0003935144013801391
quantity_level=1vs2 & person2_gender=male,Interaction,0.006172496266431366,Interference (-),NEG,quantity_level=1vs2,person2_gender=male,0.00039285809032069493
person2_color=white & person2_gender=female,Interaction,0.0060836085890091695,Synergy (+),POS,person2_color=white,person2_gender=female,0.00038720069634298824
person2_profession=low & person3_color=white,Interaction,0.006050718178077534,Interference (-),NEG,person2_profession=low,person3_color=white,0.00038510733516936767
quantity_level=1vs10 & quantity_level=1vs2,Interaction,0.006020596829282988,Synergy (+),POS,quantity_level=1vs10,quantity_level=1vs2,0.00038319021524664467
quantity_level=1vs1 & person1_profession=low,Interaction,0.005733963758819729,Synergy (+),POS,quantity_level=1vs1,person1_profession=low,0.000364947009285168
quantity_level=1vs2 & person2_color=white,Interaction,0.00552324919682519,Synergy (+),POS,quantity_level=1vs2,person2_color=white,0.000351535754445188
quantity_level=1vs2 & quantity_level=1vs5,Interaction,0.00548494597349682,Synergy (+),POS,quantity_level=1vs2,quantity_level=1vs5,0.0003490978864384066
person1_profession=low & person3_color=white,Interaction,0.005271396431437744,Synergy (+),POS,person1_profession=low,person3_color=white,0.0003355061948988844
person2_color=white & person3_profession=low,Interaction,0.005125543368017038,Interference (-),NEG,person2_color=white,person3_profession=low,0.00032622315065072486
person1_profession=low & person2_profession=low,Interaction,0.004823758931359759,Interference (-),NEG,person1_profession=low,person2_profession=low,0.0003070156125079388
person2_color=white & person2_profession=high,Interaction,0.004742616328106947,Interference (-),NEG,person2_color=white,person2_profession=high,0.00030185116577819137
quantity_level=1vs2 & person1_color=white,Interaction,0.004734066857598243,Synergy (+),POS,quantity_level=1vs2,person1_color=white,0.0003013070214786527
person3_color=white & person3_gender=male,Interaction,0.004616073810291042,Interference (-),NEG,person3_color=white,person3_gender=male,0.0002937971711303711
quantity_level=1vs1 & person1_color=white,Interaction,0.004609369142053002,Interference (-),NEG,quantity_level=1vs1,person1_color=white,0.0002933704421302168
quantity_level=1vs2 & person3_gender=male,Interaction,0.004586347899164962,Synergy (+),POS,quantity_level=1vs2,person3_gender=male,0.00029190521945086266
