Feature,Type,Importance,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs5 & person1_color=black,Interaction,0.10627231076782111,Synergy (+),POS,quantity_level=1vs5,person1_color=black,0.00534162309732387
person2_color=black & person2_gender=female,Interaction,0.10616432556772401,Interference (-),NEG,person2_color=black,person2_gender=female,0.005336195378336296
quantity_level=1vs2 & person3_color=black,Interaction,0.10529630572451561,Synergy (+),POS,quantity_level=1vs2,person3_color=black,0.005292565623700139
person2_gender=male,Main Effect,0.10523259010534157,Negative (Promotes 0),NEG,person2_gender=male,-,0.005289363050794918
person3_profession=low,Main Effect,0.10096107993212511,Negative (Promotes 0),NEG,person3_profession=low,-,0.005074661806069412
person3_profession=high & person3_gender=female,Interaction,0.10095853366126958,Interference (-),NEG,person3_profession=high,person3_gender=female,0.005074533821469137
person1_profession=high & person3_profession=high,Interaction,0.10001958511054851,Interference (-),NEG,person1_profession=high,person3_profession=high,0.005027338938535913
person2_gender=female & person3_profession=high,Interaction,0.09969500038369584,Interference (-),NEG,person2_gender=female,person3_profession=high,0.005011024159441831
person1_gender=female & person3_color=black,Interaction,0.09659169761337214,Interference (-),NEG,person1_gender=female,person3_color=black,0.0048550411603314955
person2_profession=high & person2_gender=female,Interaction,0.09625775796214203,Interference (-),NEG,person2_profession=high,person2_gender=female,0.004838256169572989
person1_gender=female & person2_color=black,Interaction,0.09616743371850907,Interference (-),NEG,person1_gender=female,person2_color=black,0.004833716152869182
person2_color=black & person3_profession=high,Interaction,0.09526129835000315,Interference (-),NEG,person2_color=black,person3_profession=high,0.0047881705768038595
person1_gender=female & person2_gender=female,Interaction,0.09517655998481489,Interference (-),NEG,person1_gender=female,person2_gender=female,0.00478391132615382
person1_profession=high & person1_gender=female,Interaction,0.09010730183133202,Interference (-),NEG,person1_profession=high,person1_gender=female,0.004529112439752447
person1_color=black & person2_profession=high,Interaction,0.08960481271994579,Interference (-),NEG,person1_color=black,person2_profession=high,0.00450385555558251
person1_profession=high & person3_gender=female,Interaction,0.08923495728276488,Interference (-),NEG,person1_profession=high,person3_gender=female,0.004485265310092953
quantity_level=1vs1 & person2_profession=high,Interaction,0.08721940682083623,Interference (-),NEG,quantity_level=1vs1,person2_profession=high,0.004383956598317769
quantity_level=1vs5 & person3_color=black,Interaction,0.08679286475176175,Interference (-),NEG,quantity_level=1vs5,person3_color=black,0.004362517081742973
person1_color=black & person1_profession=high,Interaction,0.08550328857440839,Synergy (+),POS,person1_color=black,person1_profession=high,0.004297698411245078
quantity_level=1vs2 & person2_gender=female,Interaction,0.08410273133732456,Interference (-),NEG,quantity_level=1vs2,person2_gender=female,0.004227301439233471
person1_profession=high & person3_color=black,Interaction,0.08393423267879874,Synergy (+),POS,person1_profession=high,person3_color=black,0.004218832099292082
person1_gender=female & person2_profession=high,Interaction,0.08318662202361564,Synergy (+),POS,person1_gender=female,person2_profession=high,0.004181254537322472
person2_profession=high & person3_gender=female,Interaction,0.08311077057309996,Interference (-),NEG,person2_profession=high,person3_gender=female,0.004177441974509894
person1_profession=high & person2_color=black,Interaction,0.08294264345570512,Interference (-),NEG,person1_profession=high,person2_color=black,0.004168991309542941
quantity_level=1vs5 & person1_gender=female,Interaction,0.0827349629710491,Synergy (+),POS,quantity_level=1vs5,person1_gender=female,0.004158552552112272
person1_color=black & person3_profession=high,Interaction,0.07865788731618249,Interference (-),NEG,person1_color=black,person3_profession=high,0.003953624275591097
person1_profession=low,Main Effect,0.07662522559790817,Negative (Promotes 0),NEG,person1_profession=low,-,0.0038514554914089068
person2_color=black & person3_gender=male,Interaction,0.07644758139108548,Interference (-),NEG,person2_color=black,person3_gender=male,0.0038425264637871872
quantity_level=1vs1 & person1_profession=high,Interaction,0.07616659102294192,Interference (-),NEG,quantity_level=1vs1,person1_profession=high,0.003828402891713174
quantity_level=1vs2 & person3_gender=female,Interaction,0.07409548632273537,Interference (-),NEG,quantity_level=1vs2,person3_gender=female,0.003724301826970455
quantity_level=1vs1 & person3_profession=high,Interaction,0.07369826586431147,Interference (-),NEG,quantity_level=1vs1,person3_profession=high,0.0037043361184983556
person1_gender=male,Main Effect,0.07360270524805494,Negative (Promotes 0),NEG,person1_gender=male,-,0.0036995329031424234
quantity_level=1vs1 & person2_gender=female,Interaction,0.07283270330259226,Interference (-),NEG,quantity_level=1vs1,person2_gender=female,0.003660829875541435
person1_profession=high & person2_gender=female,Interaction,0.0713050065801072,Interference (-),NEG,person1_profession=high,person2_gender=female,0.00358404242225682
quantity_level=1vs5 & person2_gender=female,Interaction,0.07117678178939335,Synergy (+),POS,quantity_level=1vs5,person2_gender=female,0.0035775973896911596
person1_color=black & person3_gender=male,Interaction,0.07020518178848278,Synergy (+),POS,person1_color=black,person3_gender=male,0.0035287613291150187
quantity_level=1vs10 & person1_gender=female,Interaction,0.07014596278790172,Synergy (+),POS,quantity_level=1vs10,person1_gender=female,0.003525784772201757
person1_gender=female & person3_profession=high,Interaction,0.07009631132642927,Interference (-),NEG,person1_gender=female,person3_profession=high,0.003523289113723072
quantity_level=1vs2 & person2_color=black,Interaction,0.06987605446611315,Interference (-),NEG,quantity_level=1vs2,person2_color=black,0.0035122182230657773
quantity_level=1vs1 & person1_gender=female,Interaction,0.06940834444281638,Interference (-),NEG,quantity_level=1vs1,person1_gender=female,0.003488709459162542
quantity_level=1vs5 & person3_gender=female,Interaction,0.06832056194265167,Synergy (+),POS,quantity_level=1vs5,person3_gender=female,0.0034340336542820113
person2_gender=male & person3_gender=female,Interaction,0.06630189806507375,Interference (-),NEG,person2_gender=male,person3_gender=female,0.00333256845119857
person3_color=black & person3_profession=low,Interaction,0.06486436429089346,Interference (-),NEG,person3_color=black,person3_profession=low,0.003260312907342741
quantity_level=1vs10 & person1_color=black,Interaction,0.06337719000382484,Synergy (+),POS,quantity_level=1vs10,person1_color=black,0.0031855622553228803
person3_profession=low & person3_gender=female,Interaction,0.06330673578209502,Synergy (+),POS,person3_profession=low,person3_gender=female,0.0031820209763634135
person1_color=white & person3_gender=female,Interaction,0.06229085693909958,Synergy (+),POS,person1_color=white,person3_gender=female,0.0031309593042060956
quantity_level=1vs2 & person3_profession=high,Interaction,0.06170442145228297,Synergy (+),POS,quantity_level=1vs2,person3_profession=high,0.003101482977599123
person1_color=white,Main Effect,0.05720941199960646,Negative (Promotes 0),NEG,person1_color=white,-,0.002875547866735078
quantity_level=1vs2 & person1_color=black,Interaction,0.05712104003139616,Interference (-),NEG,quantity_level=1vs2,person1_color=black,0.002871105978315248
person1_gender=male & person3_color=black,Interaction,0.0569278611839193,Interference (-),NEG,person1_gender=male,person3_color=black,0.002861396124580617
quantity_level=1vs10 & person2_gender=female,Interaction,0.05550902026466148,Synergy (+),POS,quantity_level=1vs10,person2_gender=female,0.002790080149883371
quantity_level=1vs2 & person1_profession=high,Interaction,0.054977701215363856,Synergy (+),POS,quantity_level=1vs2,person1_profession=high,0.002763374170825694
quantity_level=1vs2 & person1_gender=female,Interaction,0.05432924432617032,Interference (-),NEG,quantity_level=1vs2,person1_gender=female,0.0027307804286560845
person2_color=black & person2_gender=male,Interaction,0.05177620645350988,Synergy (+),POS,person2_color=black,person2_gender=male,0.0026024556941093794
person1_color=black & person2_gender=male,Interaction,0.05160146794043371,Interference (-),NEG,person1_color=black,person2_gender=male,0.002593672716956667
quantity_level=1vs5 & person2_profession=high,Interaction,0.051467445486363575,Interference (-),NEG,quantity_level=1vs5,person2_profession=high,0.00258693627327676
person1_color=black & person1_profession=low,Interaction,0.05120980568022121,Interference (-),NEG,person1_color=black,person1_profession=low,0.002573986383231677
person1_profession=low & person2_color=black,Interaction,0.0508482758678353,Synergy (+),POS,person1_profession=low,person2_color=black,0.0025558146131604417
person1_gender=male & person3_gender=female,Interaction,0.04917063516859843,Interference (-),NEG,person1_gender=male,person3_gender=female,0.002471490444020726
quantity_level=1vs10 & person2_profession=high,Interaction,0.04888132059752414,Interference (-),NEG,quantity_level=1vs10,person2_profession=high,0.00245694846799633
quantity_level=1vs5 & person3_profession=high,Interaction,0.04879050628956355,Synergy (+),POS,quantity_level=1vs5,person3_profession=high,0.002452383818922033
quantity_level=1vs2 & person2_profession=high,Interaction,0.0487535499130704,Interference (-),NEG,quantity_level=1vs2,person2_profession=high,0.0024505262604212065
person2_profession=low,Main Effect,0.04824348468547496,Negative (Promotes 0),NEG,person2_profession=low,-,0.0024248885737916375
quantity_level=1vs10 & person3_profession=high,Interaction,0.047599371982740855,Interference (-),NEG,quantity_level=1vs10,person3_profession=high,0.002392513185834552
person1_color=white & person3_color=black,Interaction,0.045881883449362046,Synergy (+),POS,person1_color=white,person3_color=black,0.0023061861232817438
person1_color=black & person2_color=white,Interaction,0.04494282010136362,Synergy (+),POS,person1_color=black,person2_color=white,0.0022589854702303796
quantity_level=1vs10 & person2_color=black,Interaction,0.043023470352410505,Interference (-),NEG,quantity_level=1vs10,person2_color=black,0.002162512147341506
quantity_level=1vs5 & person1_profession=high,Interaction,0.04235004038958925,Interference (-),NEG,quantity_level=1vs5,person1_profession=high,0.0021286631699564654
quantity_level=1vs1 & quantity_level=1vs5,Interaction,0.042048171111984174,Synergy (+),POS,quantity_level=1vs1,quantity_level=1vs5,0.0021134901498727054
quantity_level=1vs2 & person3_profession=low,Interaction,0.04111499404500793,Synergy (+),POS,quantity_level=1vs2,person3_profession=low,0.0020665853621736445
person2_profession=low & person3_color=black,Interaction,0.03998707060473613,Synergy (+),POS,person2_profession=low,person3_color=black,0.00200989193133509
person1_gender=male & person2_color=black,Interaction,0.03988191418378885,Interference (-),NEG,person1_gender=male,person2_color=black,0.0020046063968162152
person2_color=white,Main Effect,0.039263164031412466,Negative (Promotes 0),NEG,person2_color=white,-,0.001973505820555789
quantity_level=1vs10 & person1_profession=high,Interaction,0.039201965591070385,Interference (-),NEG,quantity_level=1vs10,person1_profession=high,0.0019704297699826
quantity_level=1vs1 & person1_color=white,Interaction,0.039142177582372796,Synergy (+),POS,quantity_level=1vs1,person1_color=white,0.0019674246127041463
person1_profession=low & person1_gender=female,Interaction,0.03788340695121429,Interference (-),NEG,person1_profession=low,person1_gender=female,0.001904154338170272
person1_color=black & person3_profession=low,Interaction,0.03739092373836547,Interference (-),NEG,person1_color=black,person3_profession=low,0.0018794003859338815
person2_color=black & person3_profession=low,Interaction,0.03613700139150843,Interference (-),NEG,person2_color=black,person3_profession=low,0.0018163738033572065
person2_profession=low & person2_gender=female,Interaction,0.03543348684543799,Interference (-),NEG,person2_profession=low,person2_gender=female,0.0017810126681617625
person3_color=black & person3_gender=male,Interaction,0.033874771184710516,Interference (-),NEG,person3_color=black,person3_gender=male,0.001702666093072295
person1_profession=low & person3_gender=female,Interaction,0.032842632030646184,Interference (-),NEG,person1_profession=low,person3_gender=female,0.0016507871200343645
quantity_level=1vs5 & person1_color=white,Interaction,0.03181132169342156,Synergy (+),POS,quantity_level=1vs5,person1_color=white,0.0015989498062691312
person3_color=white,Main Effect,0.03164104964388168,Positive (Promotes 1),POS,person3_color=white,-,0.0015903913294083242
person1_profession=low & person2_gender=male,Interaction,0.030631239442083947,Synergy (+),POS,person1_profession=low,person2_gender=male,0.0015396346886722375
quantity_level=1vs5 & person1_profession=low,Interaction,0.030287060183068076,Interference (-),NEG,quantity_level=1vs5,person1_profession=low,0.0015223350189248128
person1_color=black & person1_gender=male,Interaction,0.029999671788498227,Interference (-),NEG,person1_color=black,person1_gender=male,0.001507889859360239
person1_gender=female & person3_gender=male,Interaction,0.029651018308248612,Synergy (+),POS,person1_gender=female,person3_gender=male,0.0014903652993915326
person2_color=black & person2_profession=low,Interaction,0.027925854888690274,Interference (-),NEG,person2_color=black,person2_profession=low,0.001403652469850224
person3_profession=high & person3_gender=male,Interaction,0.027918795751193576,Interference (-),NEG,person3_profession=high,person3_gender=male,0.0014032976525734837
person1_color=black & person2_profession=low,Interaction,0.02706948988165641,Interference (-),NEG,person1_color=black,person2_profession=low,0.0013606085285990932
quantity_level=1vs1 & person2_profession=low,Interaction,0.026360157500783975,Synergy (+),POS,quantity_level=1vs1,person2_profession=low,0.0013249549684010288
person1_color=white & person2_profession=high,Interaction,0.02582661527317663,Interference (-),NEG,person1_color=white,person2_profession=high,0.0012981372445198616
person2_profession=high & person3_profession=low,Interaction,0.025628007782267283,Interference (-),NEG,person2_profession=high,person3_profession=low,0.0012881545279206084
person1_gender=female & person2_profession=low,Interaction,0.025293752129256004,Synergy (+),POS,person1_gender=female,person2_profession=low,0.0012713536537922862
person2_gender=female & person3_gender=male,Interaction,0.024810977048091567,Interference (-),NEG,person2_gender=female,person3_gender=male,0.0012470876666717612
person2_color=white & person3_color=black,Interaction,0.0246704633716703,Interference (-),NEG,person2_color=white,person3_color=black,0.0012400249511437104
person1_profession=low & person3_color=black,Interaction,0.02373800099088879,Synergy (+),POS,person1_profession=low,person3_color=black,0.0011931560861065129
person1_gender=male & person3_profession=low,Interaction,0.02326248393052145,Interference (-),NEG,person1_gender=male,person3_profession=low,0.0011692549128424904
quantity_level=1vs1 & person3_gender=male,Interaction,0.02312952692216437,Interference (-),NEG,quantity_level=1vs1,person3_gender=male,0.0011625720222413545
person2_color=white & person2_profession=high,Interaction,0.0231173550570744,Synergy (+),POS,person2_color=white,person2_profession=high,0.0011619602211500606
quantity_level=1vs5 & person2_profession=low,Interaction,0.022456654704195323,Synergy (+),POS,quantity_level=1vs5,person2_profession=low,0.0011287510790899112
person2_color=white & person2_gender=female,Interaction,0.02197433913667829,Interference (-),NEG,person2_color=white,person2_gender=female,0.0011045081887543792
quantity_level=1vs1 & person3_profession=low,Interaction,0.021689109200547556,Interference (-),NEG,quantity_level=1vs1,person3_profession=low,0.0010901715209631537
person1_gender=female & person3_profession=low,Interaction,0.021656615097881225,Interference (-),NEG,person1_gender=female,person3_profession=low,0.001088538252164581
person1_color=white & person1_profession=high,Interaction,0.0216333015980541,Interference (-),NEG,person1_color=white,person1_profession=high,0.001087366433011913
quantity_level=1vs1 & person1_gender=male,Interaction,0.02156642584892079,Interference (-),NEG,quantity_level=1vs1,person1_gender=male,0.0010840050207715998
quantity_level=1vs5 & person3_profession=low,Interaction,0.02141210034920899,Synergy (+),POS,quantity_level=1vs5,person3_profession=low,0.0010762480740390912
person1_gender=female & person2_gender=male,Interaction,0.021404493728961436,Interference (-),NEG,person1_gender=female,person2_gender=male,0.0010758657383383489
person2_color=white & person3_gender=female,Interaction,0.02098202396291276,Interference (-),NEG,person2_color=white,person3_gender=female,0.0010546309101508175
quantity_level=1vs2 & person3_gender=male,Interaction,0.020781072852269652,Synergy (+),POS,quantity_level=1vs2,person3_gender=male,0.0010445303949151111
person1_profession=high & person3_gender=male,Interaction,0.020706217645304885,Interference (-),NEG,person1_profession=high,person3_gender=male,0.0010407679068352995
person1_gender=male & person2_gender=female,Interaction,0.020575414683441918,Interference (-),NEG,person1_gender=male,person2_gender=female,0.0010341932862475145
person2_gender=male & person3_color=black,Interaction,0.019638663011734253,Synergy (+),POS,person2_gender=male,person3_color=black,0.0009871088262419123
quantity_level=1vs2 & person1_gender=male,Interaction,0.01930464382451573,Interference (-),NEG,quantity_level=1vs2,person1_gender=male,0.0009703198377226558
person2_color=white & person3_profession=high,Interaction,0.019218079716646286,Synergy (+),POS,person2_color=white,person3_profession=high,0.0009659688187728103
person1_profession=high & person2_gender=male,Interaction,0.018878870553823764,Synergy (+),POS,person1_profession=high,person2_gender=male,0.0009489189636801202
quantity_level=1vs1 & person2_color=white,Interaction,0.018644654771523123,Interference (-),NEG,quantity_level=1vs1,person2_color=white,0.000937146448116511
quantity_level=1vs1 & quantity_level=1vs10,Interaction,0.018499647057467757,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs10,0.0009298578463246433
person1_color=white & person1_gender=female,Interaction,0.018082739378471126,Interference (-),NEG,person1_color=white,person1_gender=female,0.0009089025883511391
person1_color=white & person2_gender=female,Interaction,0.017124760621724494,Interference (-),NEG,person1_color=white,person2_gender=female,0.0008607511797969094
person2_profession=low & person3_gender=female,Interaction,0.016680351120816932,Interference (-),NEG,person2_profession=low,person3_gender=female,0.0008384135827543052
quantity_level=1vs5 & person3_gender=male,Interaction,0.01653992884232947,Synergy (+),POS,quantity_level=1vs5,person3_gender=male,0.0008313554612104326
quantity_level=1vs10 & person1_profession=low,Interaction,0.01597859132881685,Interference (-),NEG,quantity_level=1vs10,person1_profession=low,0.0008031406477194167
person2_profession=high & person3_gender=male,Interaction,0.01572386440383425,Synergy (+),POS,person2_profession=high,person3_gender=male,0.0007903371694082126
person1_color=white & person3_profession=high,Interaction,0.015524149747133691,Interference (-),NEG,person1_color=white,person3_profession=high,0.000780298802731153
quantity_level=1vs10 & quantity_level=1vs2,Interaction,0.014892870252339277,Interference (-),NEG,quantity_level=1vs10,quantity_level=1vs2,0.0007485684573015904
person2_gender=male & person3_profession=low,Interaction,0.01480451699284014,Interference (-),NEG,person2_gender=male,person3_profession=low,0.0007441275092479104
person2_gender=female & person3_profession=low,Interaction,0.01462885770668905,Interference (-),NEG,person2_gender=female,person3_profession=low,0.0007352982507761147
person1_gender=male & person3_gender=male,Interaction,0.014583305235223136,Interference (-),NEG,person1_gender=male,person3_gender=male,0.0007330086220669571
person3_color=white & person3_profession=high,Interaction,0.014392067863678845,Interference (-),NEG,person3_color=white,person3_profession=high,0.0007233963537956456
person1_gender=female & person2_color=white,Interaction,0.014092875996381012,Interference (-),NEG,person1_gender=female,person2_color=white,0.0007083579098459213
person2_profession=high & person3_color=white,Interaction,0.014066098902301025,Synergy (+),POS,person2_profession=high,person3_color=white,0.0007070119981669199
person1_profession=high & person1_gender=male,Interaction,0.01299928077168856,Interference (-),NEG,person1_profession=high,person1_gender=male,0.0006533899368232711
person1_color=white & person1_gender=male,Interaction,0.012993151203011422,Synergy (+),POS,person1_color=white,person1_gender=male,0.0006530818429709226
person1_profession=low & person3_profession=low,Interaction,0.012890523844282822,Synergy (+),POS,person1_profession=low,person3_profession=low,0.0006479234280852267
quantity_level=1vs10 & person1_gender=male,Interaction,0.012830749675878834,Synergy (+),POS,quantity_level=1vs10,person1_gender=male,0.000644918966468996
quantity_level=1vs5 & person2_gender=male,Interaction,0.012775122033915601,Interference (-),NEG,quantity_level=1vs5,person2_gender=male,0.0006421229239720029
person1_profession=high & person3_profession=low,Interaction,0.01277026698765462,Synergy (+),POS,person1_profession=high,person3_profession=low,0.0006418788921347458
person1_color=white & person2_color=white,Interaction,0.012742754717494535,Synergy (+),POS,person1_color=white,person2_color=white,0.0006404960278996018
quantity_level=1vs2 & person2_gender=male,Interaction,0.012740584313482833,Synergy (+),POS,quantity_level=1vs2,person2_gender=male,0.000640386935699426
quantity_level=1vs5 & person3_color=white,Interaction,0.012472888903104664,Interference (-),NEG,quantity_level=1vs5,person3_color=white,0.0006269316153361786
quantity_level=1vs2 & person1_color=white,Interaction,0.012330018320020723,Synergy (+),POS,quantity_level=1vs2,person1_color=white,0.0006197504333235222
person1_color=white & person3_profession=low,Interaction,0.012318641240363217,Interference (-),NEG,person1_color=white,person3_profession=low,0.0006191785809657487
person2_profession=low & person3_profession=high,Interaction,0.012234000810800052,Synergy (+),POS,person2_profession=low,person3_profession=high,0.0006149242529074289
person1_color=white & person2_gender=male,Interaction,0.011757784021537314,Interference (-),NEG,person1_color=white,person2_gender=male,0.0005909879087884347
person1_profession=high & person3_color=white,Interaction,0.01172295368067001,Interference (-),NEG,person1_profession=high,person3_color=white,0.0005892372123754158
person2_color=white & person2_profession=low,Interaction,0.011671181829760605,Interference (-),NEG,person2_color=white,person2_profession=low,0.0005866349756063944
person2_gender=male & person3_profession=high,Interaction,0.011599132761467693,Interference (-),NEG,person2_gender=male,person3_profession=high,0.0005830135340045938
quantity_level=1vs1 & person1_profession=low,Interaction,0.01152462072400524,Synergy (+),POS,quantity_level=1vs1,person1_profession=low,0.0005792682948405779
person2_profession=low & person3_gender=male,Interaction,0.01090768518536237,Synergy (+),POS,person2_profession=low,person3_gender=male,0.0005482589274995928
quantity_level=1vs5 & person2_color=white,Interaction,0.010856161289417837,Synergy (+),POS,quantity_level=1vs5,person2_color=white,0.0005456691538261594
person1_profession=high & person2_color=white,Interaction,0.010557673863233983,Synergy (+),POS,person1_profession=high,person2_color=white,0.0005306661175842186
person2_gender=female & person3_color=white,Interaction,0.010439959925610847,Synergy (+),POS,person2_gender=female,person3_color=white,0.0005247493977581255
quantity_level=1vs10 & person3_profession=low,Interaction,0.010425638579576126,Interference (-),NEG,quantity_level=1vs10,person3_profession=low,0.0005240295561341773
person2_profession=high & person2_gender=male,Interaction,0.01041914936343198,Synergy (+),POS,person2_profession=high,person2_gender=male,0.0005237033851251097
person1_profession=low & person1_gender=male,Interaction,0.010330549776555517,Interference (-),NEG,person1_profession=low,person1_gender=male,0.0005192500557841618
person1_gender=male & person3_profession=high,Interaction,0.010082714719988704,Synergy (+),POS,person1_gender=male,person3_profession=high,0.0005067929872126866
person3_color=white & person3_gender=male,Interaction,0.009923012462857018,Interference (-),NEG,person3_color=white,person3_gender=male,0.0004987657855904964
person3_profession=low & person3_gender=male,Interaction,0.009341656058732722,Synergy (+),POS,person3_profession=low,person3_gender=male,0.00046954475168607706
quantity_level=1vs2 & person3_color=white,Interaction,0.009334598393006054,Synergy (+),POS,quantity_level=1vs2,person3_color=white,0.0004691900083857161
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.00932467843072107,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.000468691395912879
person2_color=white & person2_gender=male,Interaction,0.009157710717621077,Synergy (+),POS,person2_color=white,person2_gender=male,0.00046029900671612197
person1_profession=high & person2_profession=low,Interaction,0.009148343871423397,Synergy (+),POS,person1_profession=high,person2_profession=low,0.00045982819581874795
person1_profession=low & person2_profession=high,Interaction,0.009032015306569312,Synergy (+),POS,person1_profession=low,person2_profession=high,0.0004539811097394711
person2_profession=low & person2_gender=male,Interaction,0.008931346125161471,Interference (-),NEG,person2_profession=low,person2_gender=male,0.00044892111978807504
quantity_level=1vs10 & quantity_level=1vs5,Interaction,0.00892170819283972,Interference (-),NEG,quantity_level=1vs10,quantity_level=1vs5,0.0004484366831410468
person2_color=white & person3_gender=male,Interaction,0.008849812449970554,Interference (-),NEG,person2_color=white,person3_gender=male,0.000444822948218615
person2_color=black & person3_color=white,Interaction,0.008736080654278095,Interference (-),NEG,person2_color=black,person3_color=white,0.000439106384963505
person1_profession=low & person3_profession=high,Interaction,0.00868993338106341,Interference (-),NEG,person1_profession=low,person3_profession=high,0.0004367868594097545
quantity_level=1vs1 & person2_gender=male,Interaction,0.008675365271144207,Interference (-),NEG,quantity_level=1vs1,person2_gender=male,0.00043605461455814137
person1_gender=male & person2_color=white,Interaction,0.008571637615763034,Synergy (+),POS,person1_gender=male,person2_color=white,0.0004308408948618995
person1_gender=male & person2_profession=high,Interaction,0.008503627246713677,Synergy (+),POS,person1_gender=male,person2_profession=high,0.0004274224526021348
